,gender,past_3yrs_pur,wealth_segment,deceased_indicator,owns_car,tenure,state,property_valuation,product_class,list_price,age,Cluster_lbl
0,Female,93,Mass Customer,N,Yes,11.0,NSW,10,medium,235.63,67.0,1
1,Female,93,Mass Customer,N,Yes,11.0,NSW,10,medium,1577.53,67.0,1
2,Female,93,Mass Customer,N,Yes,11.0,NSW,10,low,1720.7,67.0,1
3,Female,93,Mass Customer,N,Yes,11.0,NSW,10,medium,360.4,67.0,1
4,Female,93,Mass Customer,N,Yes,11.0,NSW,10,medium,71.49,67.0,1
5,Female,93,Mass Customer,N,Yes,11.0,NSW,10,medium,1538.99,67.0,1
6,Female,93,Mass Customer,N,Yes,11.0,NSW,10,low,688.63,67.0,1
7,Female,93,Mass Customer,N,Yes,11.0,NSW,10,medium,230.91,67.0,1
8,Female,93,Mass Customer,N,Yes,11.0,NSW,10,medium,642.7,67.0,1
9,Female,93,Mass Customer,N,Yes,11.0,NSW,10,medium,742.54,67.0,1
10,Female,93,Mass Customer,N,Yes,11.0,NSW,10,high,1274.93,67.0,1
11,Male,81,Mass Customer,N,Yes,16.0,NSW,10,medium,1403.5,40.0,1
12,Male,81,Mass Customer,N,Yes,16.0,NSW,10,medium,752.64,40.0,1
13,Male,81,Mass Customer,N,Yes,16.0,NSW,10,medium,1992.93,40.0,1
40,Female,97,Affluent Customer,N,Yes,8.0,NSW,12,medium,1061.56,47.0,1
41,Female,97,Affluent Customer,N,Yes,8.0,NSW,12,medium,752.64,47.0,1
42,Female,97,Affluent Customer,N,Yes,8.0,NSW,12,low,945.04,47.0,1
43,Female,97,Affluent Customer,N,Yes,8.0,NSW,12,medium,792.9,47.0,1
44,Female,97,Affluent Customer,N,Yes,8.0,NSW,12,high,227.88,47.0,1
45,Female,97,Affluent Customer,N,Yes,8.0,NSW,12,medium,1577.53,47.0,1
52,Male,58,Mass Customer,N,No,8.0,QLD,4,medium,1812.75,26.0,0
53,Male,58,Mass Customer,N,No,8.0,QLD,4,medium,360.4,26.0,0
54,Male,58,Mass Customer,N,No,8.0,QLD,4,medium,360.4,26.0,0
55,Male,58,Mass Customer,N,No,8.0,QLD,4,medium,100.35,26.0,0
56,Male,58,Mass Customer,N,No,8.0,QLD,4,medium,1769.64,26.0,0
57,Male,58,Mass Customer,N,No,8.0,QLD,4,high,774.53,26.0,0
58,Male,58,Mass Customer,N,No,8.0,QLD,4,medium,1216.14,26.0,0
59,Male,38,High Net Worth,N,Yes,8.0,VIC,6,medium,1163.89,65.0,1
60,Male,38,High Net Worth,N,Yes,8.0,VIC,6,medium,1216.14,65.0,1
61,Male,38,High Net Worth,N,Yes,8.0,VIC,6,medium,1362.99,65.0,1
62,Male,38,High Net Worth,N,Yes,8.0,VIC,6,medium,1061.56,65.0,1
63,Male,38,High Net Worth,N,Yes,8.0,VIC,6,high,495.72,65.0,0
64,Male,38,High Net Worth,N,Yes,8.0,VIC,6,medium,1890.39,65.0,1
65,Male,38,High Net Worth,N,Yes,8.0,VIC,6,medium,544.05,65.0,1
66,Female,85,Affluent Customer,N,No,6.0,NSW,8,medium,183.86,37.0,1
68,Female,85,Affluent Customer,N,No,6.0,NSW,8,medium,1636.9,37.0,1
69,Female,85,Affluent Customer,N,No,6.0,NSW,8,low,688.63,37.0,0
70,Male,91,Mass Customer,N,No,1.0,NSW,9,medium,544.05,20.0,1
71,Male,91,Mass Customer,N,No,1.0,NSW,9,medium,1992.93,20.0,1
72,Male,91,Mass Customer,N,No,1.0,NSW,9,medium,416.98,20.0,1
73,Male,91,Mass Customer,N,No,1.0,NSW,9,medium,1311.44,20.0,1
74,Male,91,Mass Customer,N,No,1.0,NSW,9,medium,71.49,20.0,1
75,Male,91,Mass Customer,N,No,1.0,NSW,9,medium,586.45,20.0,1
93,Female,76,High Net Worth,N,No,1.0,NSW,9,medium,1311.44,19.0,1
95,Female,76,High Net Worth,N,No,1.0,NSW,9,medium,1636.9,19.0,1
96,Male,72,Mass Customer,N,No,11.0,NSW,8,high,1129.13,40.0,0
97,Male,72,Mass Customer,N,No,11.0,NSW,8,medium,1635.3,40.0,1
98,Male,72,Mass Customer,N,No,11.0,NSW,8,medium,1762.96,40.0,1
99,Male,72,Mass Customer,N,No,11.0,NSW,8,medium,2091.47,40.0,1
100,Male,74,Affluent Customer,N,Yes,16.0,NSW,7,low,1793.43,40.0,1
101,Male,74,Affluent Customer,N,Yes,16.0,NSW,7,medium,2091.47,40.0,1
102,Male,74,Affluent Customer,N,Yes,16.0,NSW,7,medium,360.4,40.0,1
103,Male,74,Affluent Customer,N,Yes,16.0,NSW,7,medium,1538.99,40.0,1
104,Male,74,Affluent Customer,N,Yes,16.0,NSW,7,high,1661.92,40.0,1
105,Female,55,Mass Customer,N,Yes,15.0,NSW,10,medium,795.34,43.0,1
107,Female,55,Mass Customer,N,Yes,15.0,NSW,10,medium,1280.28,43.0,1
108,Female,55,Mass Customer,N,Yes,15.0,NSW,10,medium,1362.99,43.0,1
109,Female,55,Mass Customer,N,Yes,15.0,NSW,10,high,1274.93,43.0,1
110,Female,55,Mass Customer,N,Yes,15.0,NSW,10,medium,71.49,43.0,1
111,Female,55,Mass Customer,N,Yes,15.0,NSW,10,high,1458.17,43.0,1
112,Female,55,Mass Customer,N,Yes,15.0,NSW,10,low,642.31,43.0,1
113,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,795.34,44.0,1
114,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,1812.75,44.0,1
115,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,416.98,44.0,1
116,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,1292.84,44.0,1
117,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,575.27,44.0,1
118,Male,72,Mass Customer,N,Yes,21.0,QLD,3,high,227.88,44.0,0
119,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,1061.56,44.0,1
120,Male,72,Mass Customer,N,Yes,21.0,QLD,3,high,227.88,44.0,0
121,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,1216.14,44.0,1
122,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,60.34,44.0,1
123,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,1765.3,44.0,1
124,Male,72,Mass Customer,N,Yes,21.0,QLD,3,medium,544.05,44.0,1
125,Female,12,Mass Customer,N,Yes,16.0,QLD,5,low,1172.78,42.0,0
126,Female,12,Mass Customer,N,Yes,16.0,QLD,5,low,1073.07,42.0,0
128,Male,37,Mass Customer,N,Yes,12.0,VIC,7,medium,1890.39,42.0,1
129,Male,37,Mass Customer,N,Yes,12.0,VIC,7,medium,202.62,42.0,1
